Valid Indices,Volume,Fission RX,Avg Fission RX,Fission RX g1,Avg Fission RX g1,Fission RX g2,Avg Fission RX g2,Fission RX g3,Avg Fission RX g3,Fission RX g4,Avg Fission RX g4,Fission RX g5,Avg Fission RX g5,Fission RX g6,Avg Fission RX g6,Fission RX g7,Avg Fission RX g7,Scalar Flux,Avg Scalar Flux,Scalar Flux g1,Avg Scalar Flux g1,Scalar Flux g2,Avg Scalar Flux g2,Scalar Flux g3,Avg Scalar Flux g3,Scalar Flux g4,Avg Scalar Flux g4,Scalar Flux g5,Avg Scalar Flux g5,Scalar Flux g6,Avg Scalar Flux g6,Scalar Flux g7,Avg Scalar Flux g7
0,2.18161501,7.20852231,5.24872764,0.55221547,0.40208360,0.13495252,0.09826272,0.47066832,0.34270683,0.46360572,0.33756435,0.31214702,0.22728301,1.42546941,1.03792433,3.84946385,2.80290280,622.16491731,285.18547681,120.80859589,55.37576302,260.05639497,119.20361456,116.09192040,53.21375210,40.01941435,18.34393976,27.82184578,12.75286686,27.62722497,12.66365735,29.73952095,13.63188316
1,2.41545587,6.39794108,5.16318754,0.49389231,0.39857489,0.12075231,0.09744804,0.42348126,0.34175263,0.41490090,0.33482821,0.27257056,0.21996653,1.24200708,1.00230925,3.43033665,2.76830800,684.53391072,283.39739937,132.27758852,54.76299128,285.13725005,118.04697162,128.51008880,53.20324441,44.38283018,18.37451506,30.17324219,12.49173815,30.14737296,12.48102827,33.90553802,14.03691059
2,2.18161501,7.20852231,5.24872764,0.55221547,0.40208360,0.13495252,0.09826272,0.47066832,0.34270683,0.46360572,0.33756435,0.31214702,0.22728301,1.42546941,1.03792433,3.84946385,2.80290280,622.16491731,285.18547681,120.80859589,55.37576302,260.05639497,119.20361456,116.09192040,53.21375210,40.01941435,18.34393976,27.82184578,12.75286686,27.62722497,12.66365735,29.73952095,13.63188316
3,2.43658294,6.37943151,5.16853963,0.49169484,0.39836532,0.12025475,0.09742897,0.42176124,0.34170594,0.41286028,0.33449449,0.27093559,0.21950880,1.23639255,1.00171056,3.42553227,2.77532555,690.92020944,283.56112864,133.51618780,54.79648791,287.72601607,118.08586974,129.65673988,53.21252873,44.77844759,18.37755932,30.45968622,12.50098475,30.47426045,12.50696617,34.30887143,14.08073200
4,1.97329753,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,522.03846980,264.55132114,106.12864748,53.78238487,231.37051888,117.25070083,101.46637120,51.41970201,31.02083346,15.72030214,18.87501782,9.56521634,16.91064761,8.56974040,16.26643334,8.24327455
5,2.43658294,6.37943151,5.16853963,0.49169484,0.39836532,0.12025475,0.09742897,0.42176124,0.34170594,0.41286028,0.33449449,0.27093559,0.21950880,1.23639255,1.00171056,3.42553227,2.77532555,690.92020944,283.56112864,133.51618780,54.79648791,287.72601607,118.08586974,129.65673988,53.21252873,44.77844759,18.37755932,30.45968622,12.50098475,30.47426045,12.50696617,34.30887143,14.08073200
6,2.18161501,7.20852231,5.24872764,0.55221547,0.40208360,0.13495252,0.09826272,0.47066832,0.34270683,0.46360572,0.33756435,0.31214702,0.22728301,1.42546941,1.03792433,3.84946385,2.80290280,622.16491731,285.18547681,120.80859589,55.37576302,260.05639497,119.20361456,116.09192040,53.21375210,40.01941435,18.34393976,27.82184578,12.75286686,27.62722497,12.66365735,29.73952095,13.63188316
7,2.41545587,6.39794108,5.16318754,0.49389231,0.39857489,0.12075231,0.09744804,0.42348126,0.34175263,0.41490090,0.33482821,0.27257056,0.21996653,1.24200708,1.00230925,3.43033665,2.76830800,684.53391072,283.39739937,132.27758852,54.76299128,285.13725005,118.04697162,128.51008880,53.20324441,44.38283018,18.37451506,30.17324219,12.49173815,30.14737296,12.48102827,33.90553802,14.03691059
8,2.18161501,7.20852231,5.24872764,0.55221547,0.40208360,0.13495252,0.09826272,0.47066832,0.34270683,0.46360572,0.33756435,0.31214702,0.22728301,1.42546941,1.03792433,3.84946385,2.80290280,622.16491731,285.18547681,120.80859589,55.37576302,260.05639497,119.20361456,116.09192040,53.21375210,40.01941435,18.34393976,27.82184578,12.75286686,27.62722497,12.66365735,29.73952095,13.63188316
9,2.18381316,7.12390028,5.24173671,0.54634483,0.40199829,0.13352734,0.09824887,0.46572827,0.34268096,0.45870193,0.33751100,0.30880802,0.22721968,1.40963115,1.03720084,3.80115874,2.79687707,622.64916485,285.12016311,120.91152283,55.36715547,260.28796526,119.18966779,116.20245886,53.21080617,40.05658738,18.34249746,27.84586153,12.75102743,27.63788943,12.65579396,29.70687956,13.60321482
10,2.41985217,6.35178172,5.15699238,0.49080844,0.39848589,0.12000724,0.09743352,0.42090341,0.34173020,0.41232584,0.33476610,0.27081025,0.21987003,1.23351850,1.00148994,3.40340804,2.76321670,685.64698663,283.34251005,132.50579757,54.75780688,285.63569565,118.03848999,128.73784542,53.20070674,44.45723019,18.37187859,30.22127101,12.48889144,30.18306391,12.47310242,33.90608288,14.01163400
11,2.18381316,7.12390028,5.24173671,0.54634483,0.40199829,0.13352734,0.09824887,0.46572827,0.34268096,0.45870193,0.33751100,0.30880802,0.22721968,1.40963115,1.03720084,3.80115874,2.79687707,622.64916485,285.12016311,120.91152283,55.36715547,260.28796526,119.18966779,116.20245886,53.21080617,40.05658738,18.34249746,27.84586153,12.75102743,27.63788943,12.65579396,29.70687956,13.60321482
12,2.43585023,6.32864283,5.15890629,0.48861462,0.39830294,0.11950335,0.09741529,0.41917184,0.34169542,0.41042786,0.33456761,0.26933023,0.21954935,1.22774405,1.00081750,3.39385087,2.76655818,690.41258838,283.43802949,133.43702480,54.78047186,287.58333051,118.06281329,129.60342069,53.20664599,44.75832880,18.37482794,30.43633185,12.49515734,30.41767342,12.48749742,34.17647832,14.03061565
13,1.95717777,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,517.31544443,264.31704508,105.18997286,53.74574276,229.40848895,117.21392541,100.60099105,51.40104935,30.72632997,15.69930461,18.67368563,9.54112903,16.70135734,8.53338803,16.01461863,8.18250590
14,2.43585023,6.32864283,5.15890629,0.48861462,0.39830294,0.11950335,0.09741529,0.41917184,0.34169542,0.41042786,0.33456761,0.26933023,0.21954935,1.22774405,1.00081750,3.39385087,2.76655818,690.41258838,283.43802949,133.43702480,54.78047186,287.58333051,118.06281329,129.60342069,53.20664599,44.75832880,18.37482794,30.43633185,12.49515734,30.41767342,12.48749742,34.17647832,14.03061565
