Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z
-2.667718,-1.466284,-98.250000,-2.667718,-1.466284,98.250000
-0.600000,0.000000,-98.250000,-0.600000,0.000000,98.250000
0.436498,1.542018,-98.250000,0.436498,1.542018,98.250000
-0.186790,-0.891508,-98.250000,-0.186790,-0.891508,98.250000
-0.943480,-1.231049,-98.250000,-0.943480,-1.231049,98.250000
-0.873007,-1.737888,-98.250000,-0.873007,-1.737888,98.250000
1.573369,-0.640155,-98.250000,1.573369,-0.640155,98.250000
-1.462432,1.228396,-98.250000,-1.462432,1.228396,98.250000
0.345956,-1.729378,-98.250000,0.345956,-1.729378,98.250000
-2.634122,1.241099,-98.250000,-2.634122,1.241099,98.250000
-2.067196,1.495489,-98.250000,-2.067196,1.495489,98.250000
-2.361236,-0.251837,-98.250000,-2.361236,-0.251837,98.250000
-0.976191,-1.784188,-98.250000,-0.976191,-1.784188,98.250000
1.417288,-1.248653,-98.250000,1.417288,-1.248653,98.250000
1.546419,0.963137,-98.250000,1.546419,0.963137,98.250000
-0.107812,1.836238,-98.250000,-0.107812,1.836238,98.250000
0.359699,0.430634,-98.250000,0.359699,0.430634,98.250000
-2.094563,0.944747,-98.250000,-2.094563,0.944747,98.250000
-1.417288,1.248653,-98.250000,-1.417288,1.248653,98.250000
2.431948,-0.254895,-98.250000,2.431948,-0.254895,98.250000
1.374429,0.347500,-98.250000,1.374429,0.347500,98.250000
-2.013601,1.519538,-98.250000,-2.013601,1.519538,98.250000
-2.233204,0.882537,-98.250000,-2.233204,0.882537,98.250000
1.684762,-0.590171,-98.250000,1.684762,-0.590171,98.250000
-1.960290,-0.610387,-98.250000,-1.960290,-0.610387,98.250000
0.448191,-0.606581,-98.250000,0.448191,-0.606581,98.250000
0.914553,-1.474239,-98.250000,0.914553,-1.474239,98.250000
0.265499,-0.150096,-98.250000,0.265499,-0.150096,98.250000
0.988551,1.251273,-98.250000,0.988551,1.251273,98.250000
-0.820480,-1.175857,-98.250000,-0.820480,-1.175857,98.250000
-1.204210,-0.271120,-98.250000,-1.204210,-0.271120,98.250000
1.015780,-0.890355,-98.250000,1.015780,-0.890355,98.250000
-0.004140,-0.271088,-98.250000,-0.004140,-0.271088,98.250000
-0.673234,-2.725169,-98.250000,-0.673234,-2.725169,98.250000
-0.758142,-0.609423,-98.250000,-0.758142,-0.609423,98.250000
1.560273,0.969353,-98.250000,1.560273,0.969353,98.250000
-0.765963,1.540914,-98.250000,-0.765963,1.540914,98.250000
-0.417914,-2.610603,-98.250000,-0.417914,-2.610603,98.250000
0.819681,-2.055272,-98.250000,0.819681,-2.055272,98.250000
0.174429,0.347500,-98.250000,0.174429,0.347500,98.250000
-0.338801,-1.498180,-98.250000,-0.338801,-1.498180,98.250000
-1.585465,1.173189,-98.250000,-1.585465,1.173189,98.250000
-0.887843,0.947763,-98.250000,-0.887843,0.947763,98.250000
2.225571,-0.347500,-98.250000,2.225571,-0.347500,98.250000
-0.947716,-0.694488,-98.250000,-0.947716,-0.694488,98.250000
-1.638971,-1.543128,-98.250000,-1.638971,-1.543128,98.250000
-2.695430,-1.478719,-98.250000,-2.695430,-1.478719,98.250000
0.247127,1.457044,-98.250000,0.247127,1.457044,98.250000
-2.704586,1.209481,-98.250000,-2.704586,1.209481,98.250000
-2.576893,-0.887067,-98.250000,-2.576893,-0.887067,98.250000
0.302348,0.404900,-98.250000,0.302348,0.404900,98.250000
1.585465,-1.173189,-98.250000,1.585465,-1.173189,98.250000
2.620194,-1.247349,-98.250000,2.620194,-1.247349,98.250000
-0.753429,2.085000,-98.250000,-0.753429,2.085000,98.250000
-0.214373,1.249961,-98.250000,-0.214373,1.249961,98.250000
0.256051,-0.692798,-98.250000,0.256051,-0.692798,98.250000
-0.337576,1.194678,-98.250000,-0.337576,1.194678,98.250000
-0.257505,-2.000162,-98.250000,-0.257505,-2.000162,98.250000
2.023440,1.177185,-98.250000,2.023440,1.177185,98.250000
0.788680,-2.607643,-98.250000,0.788680,-2.607643,98.250000
0.911099,-1.475789,-98.250000,0.911099,-1.475789,98.250000
2.189035,-0.902356,-98.250000,2.189035,-0.902356,98.250000
1.902602,0.584501,-98.250000,1.902602,0.584501,98.250000
0.820480,1.175857,-98.250000,0.820480,1.175857,98.250000
-0.899588,-0.672892,-98.250000,-0.899588,-0.672892,98.250000
-0.834324,-1.182068,-98.250000,-0.834324,-1.182068,98.250000
1.564173,0.432642,-98.250000,1.564173,0.432642,98.250000
1.501588,-1.210826,-98.250000,1.501588,-1.210826,98.250000
1.506485,0.406756,-98.250000,1.506485,0.406756,98.250000
-0.846369,0.966373,-98.250000,-0.846369,0.966373,98.250000
-1.374385,-0.885942,-98.250000,-1.374385,-0.885942,98.250000
-2.023440,-1.177185,-98.250000,-2.023440,-1.177185,98.250000
-0.311425,-3.101280,-98.250000,-0.311425,-3.101280,98.250000
-0.476306,2.209350,-98.250000,-0.476306,2.209350,98.250000
-2.225571,0.347500,-98.250000,-2.225571,0.347500,98.250000
-1.025571,0.347500,-98.250000,-1.025571,0.347500,98.250000
-2.017292,1.517882,-98.250000,-2.017292,1.517882,98.250000
2.068410,1.197364,-98.250000,2.068410,1.197364,98.250000
0.765963,-1.540914,-98.250000,0.765963,-1.540914,98.250000
-0.304064,0.671253,-98.250000,-0.304064,0.671253,98.250000
0.976191,1.784188,-98.250000,0.976191,1.784188,98.250000
-2.663550,0.689433,-98.250000,-2.663550,0.689433,98.250000
-2.091126,0.946290,-98.250000,-2.091126,0.946290,98.250000
2.653841,1.460057,-98.250000,2.653841,1.460057,98.250000
0.865421,1.196022,-98.250000,0.865421,1.196022,98.250000
-0.216243,-0.904725,-98.250000,-0.216243,-0.904725,98.250000
-0.865421,-1.196022,-98.250000,-0.865421,-1.196022,98.250000
1.518745,0.950719,-98.250000,1.518745,0.950719,98.250000
-0.235450,-3.067189,-98.250000,-0.235450,-3.067189,98.250000
0.298589,-1.212172,-98.250000,0.298589,-1.212172,98.250000
0.330771,-1.736193,-98.250000,0.330771,-1.736193,98.250000
0.338801,1.498180,-98.250000,0.338801,1.498180,98.250000
-1.560273,-0.969353,-98.250000,-1.560273,-0.969353,98.250000
-0.270974,0.686101,-98.250000,-0.270974,0.686101,98.250000
0.171867,0.884812,-98.250000,0.171867,0.884812,98.250000
0.906634,-2.016254,-98.250000,0.906634,-2.016254,98.250000
-0.261028,-1.463282,-98.250000,-0.261028,-1.463282,98.250000
-1.921117,-0.592809,-98.250000,-1.921117,-0.592809,98.250000
-1.506485,-0.406756,-98.250000,-1.506485,-0.406756,98.250000
-2.250213,-0.202018,-98.250000,-2.250213,-0.202018,98.250000
0.245972,-2.851167,-98.250000,0.245972,-2.851167,98.250000
1.507707,-0.669618,-98.250000,1.507707,-0.669618,98.250000
0.341015,-1.193134,-98.250000,0.341015,-1.193134,98.250000
0.600000,0.000000,-98.250000,0.600000,0.000000,98.250000
1.500913,-1.749590,-98.250000,1.500913,-1.749590,98.250000
1.462432,-1.228396,-98.250000,1.462432,-1.228396,98.250000
-0.345956,1.729379,-98.250000,-0.345956,1.729379,98.250000
2.159622,-1.454016,-98.250000,2.159622,-1.454016,98.250000
-2.466760,-0.299187,-98.250000,-2.466760,-0.299187,98.250000
1.650347,-0.605613,-98.250000,1.650347,-0.605613,98.250000
-0.956243,1.455532,-98.250000,-0.956243,1.455532,98.250000
-1.458978,1.229946,-98.250000,-1.458978,1.229946,98.250000
1.545658,0.424334,-98.250000,1.545658,0.424334,98.250000
1.414886,0.365654,-98.250000,1.414886,0.365654,98.250000
2.049184,-0.426648,-98.250000,2.049184,-0.426648,98.250000
1.638971,1.543128,-98.250000,1.638971,1.543128,98.250000
-0.643804,2.134191,-98.250000,-0.643804,2.134191,98.250000
-2.107408,-1.214862,-98.250000,-2.107408,-1.214862,98.250000
0.267019,0.927509,-98.250000,0.267019,0.927509,98.250000
1.094052,1.837075,-98.250000,1.094052,1.837075,98.250000
-2.776367,0.638809,-98.250000,-2.776367,0.638809,98.250000
2.110175,1.754566,-98.250000,2.110175,1.754566,98.250000
1.702897,-0.582033,-98.250000,1.702897,-0.582033,98.250000
-1.573369,0.640155,-98.250000,-1.573369,0.640155,98.250000
-0.263642,2.843238,-98.250000,-0.263642,2.843238,98.250000
-0.864198,1.496834,-98.250000,-0.864198,1.496834,98.250000
1.968412,-1.539815,-98.250000,1.968412,-1.539815,98.250000
-2.621487,-0.907077,-98.250000,-2.621487,-0.907077,98.250000
-2.665377,1.227075,-98.250000,-2.665377,1.227075,98.250000
-0.288782,-1.475735,-98.250000,-0.288782,-1.475735,98.250000
-1.442985,-1.993647,-98.250000,-1.442985,-1.993647,98.250000
-2.404163,-0.271099,-98.250000,-2.404163,-0.271099,98.250000
0.946936,-1.998170,-98.250000,0.946936,-1.998170,98.250000
-0.901776,0.403049,-98.250000,-0.901776,0.403049,98.250000
-0.795429,-2.780000,-98.250000,-0.795429,-2.780000,98.250000
-0.781149,1.534100,-98.250000,-0.781149,1.534100,98.250000
-1.112992,-1.845573,-98.250000,-1.112992,-1.845573,98.250000
0.947716,0.694488,-98.250000,0.947716,0.694488,98.250000
-0.581499,2.162148,-98.250000,-0.581499,2.162148,98.250000
2.218359,-0.889198,-98.250000,2.218359,-0.889198,98.250000
2.574429,0.347500,-98.250000,2.574429,0.347500,98.250000
-0.436498,-1.542018,-98.250000,-0.436498,-1.542018,98.250000
-0.501042,0.582866,-98.250000,-0.501042,0.582866,98.250000
1.142637,-0.294971,-98.250000,1.142637,-0.294971,98.250000
2.177607,1.246362,-98.250000,2.177607,1.246362,98.250000
-1.349959,1.817326,-98.250000,-1.349959,1.817326,98.250000
0.315447,0.949239,-98.250000,0.315447,0.949239,98.250000
