CMFD Cell,FSR id,Centroid
4,696,"0.000000,-2.861915,-81.927795"
4,3391,"-0.000000,-2.671984,-86.906877"
4,2705,"0.000000,-2.873052,-86.957194"
4,3392,"-0.000000,-2.671766,-81.849238"
4,694,"-0.000000,-2.795457,-93.456872"
4,3771,"-0.000000,-2.877044,-81.877113"
4,695,"-0.000000,-2.858351,-86.942143"
4,3770,"-0.000000,-2.869855,-86.970236"
4,2706,"0.000000,-2.874782,-81.849489"
5,140,"0.606331,-2.444980,-93.499780"
5,142,"0.561838,-2.434538,-81.903412"
5,2573,"0.660988,-2.444216,-81.864534"
5,2572,"0.662279,-2.442481,-86.954788"
5,505,"0.560950,-2.454022,-86.963066"
5,506,"0.561436,-2.452206,-81.909218"
5,2944,"0.563947,-2.441621,-86.958830"
5,141,"0.561192,-2.436076,-86.959816"
5,2945,"0.564537,-2.439959,-81.901071"
6,3175,"1.221967,-2.029102,-86.934837"
6,2053,"1.225249,-2.007062,-81.875081"
6,2052,"1.219662,-2.013920,-86.914528"
6,3084,"1.222587,-2.006451,-81.838331"
6,3316,"1.138088,-2.128670,-86.973373"
6,2051,"1.183242,-2.067105,-93.479272"
6,3176,"1.220965,-2.025937,-81.838893"
6,3317,"1.137551,-2.122704,-81.920293"
6,3083,"1.224444,-2.011082,-86.878683"
7,60,"1.794105,-1.713064,-93.463702"
7,3485,"1.717244,-1.722466,-86.920813"
7,1347,"1.740554,-1.769114,-86.920988"
7,3144,"1.875609,-1.679257,-81.970030"
7,3486,"1.708106,-1.722526,-81.946982"
7,61,"1.692954,-1.709497,-86.995863"
7,1348,"1.732583,-1.770296,-81.914220"
7,3143,"1.871364,-1.677316,-86.985613"
7,62,"1.688503,-1.711567,-81.992334"
8,2170,"2.381789,-1.364950,-81.911027"
8,2511,"2.395922,-1.377714,-81.875973"
8,2169,"2.377503,-1.350176,-86.893506"
8,2168,"2.393421,-1.375580,-93.486484"
8,3069,"2.395445,-1.380720,-81.940050"
8,3113,"2.391758,-1.373545,-86.976944"
8,3114,"2.395367,-1.381292,-81.929110"
8,3068,"2.389569,-1.370130,-86.953073"
8,2510,"2.395383,-1.376518,-86.960536"
12,390,"-0.561192,-2.436076,-86.959816"
12,120,"-0.606331,-2.444980,-93.499780"
12,122,"-0.660988,-2.444216,-81.864534"
12,1187,"-0.564537,-2.439959,-81.901071"
12,729,"-0.560950,-2.454022,-86.963066"
12,121,"-0.662279,-2.442481,-86.954788"
12,730,"-0.561436,-2.452206,-81.909218"
12,1186,"-0.563947,-2.441621,-86.958830"
12,391,"-0.561838,-2.434538,-81.903412"
13,2190,"0.000000,-1.977160,-81.864385"
13,2526,"0.000000,-1.967884,-81.880542"
13,2188,"-0.000000,-2.083335,-93.480128"
13,2723,"-0.000000,-2.196987,-81.871242"
13,2525,"0.000000,-1.978061,-86.857169"
13,2900,"0.000000,-1.968412,-81.881533"
13,2189,"0.000000,-1.980308,-86.947884"
13,2722,"-0.000000,-2.199932,-86.953419"
13,2899,"0.000000,-1.979686,-86.857852"
14,2770,"0.559944,-1.685592,-81.961431"
14,3614,"0.560824,-1.683482,-81.893192"
14,1066,"0.570280,-1.707054,-93.469115"
14,3950,"0.559901,-1.686432,-86.948169"
14,1067,"0.594371,-1.776262,-86.904494"
14,1068,"0.601868,-1.778045,-81.897572"
14,3951,"0.560887,-1.683517,-81.893162"
14,2769,"0.562113,-1.683853,-86.985830"
14,3613,"0.559139,-1.690231,-86.908556"
15,3724,"1.224213,-1.356541,-81.920839"
15,3723,"1.227066,-1.350572,-86.974594"
15,3159,"1.224494,-1.355722,-81.933376"
15,20,"1.183000,-1.378928,-93.489683"
15,22,"1.219207,-1.355520,-81.871846"
15,3158,"1.223551,-1.348868,-86.953711"
15,1814,"1.072173,-1.451377,-81.917212"
15,21,"1.219773,-1.354631,-86.957267"
15,1813,"1.071444,-1.442240,-86.934723"
16,1473,"1.836571,-1.038300,-81.873187"
16,2636,"1.783925,-1.066751,-81.832335"
16,3756,"1.781992,-1.066932,-81.845870"
16,3755,"1.781352,-1.066813,-86.954720"
16,2635,"1.783366,-1.066440,-86.920346"
16,1472,"1.836149,-1.042514,-86.959602"
16,2006,"1.781227,-1.066844,-86.954675"
16,1471,"1.793100,-1.061585,-93.483601"
16,2007,"1.781869,-1.066962,-81.846089"
17,1201,"2.445025,-0.735653,-86.964289"
17,1046,"2.410323,-0.730144,-93.483355"
17,1048,"2.443744,-0.736343,-81.985236"
17,2092,"2.326123,-0.716466,-81.862174"
17,1202,"2.444870,-0.734785,-81.855274"
17,1047,"2.441571,-0.742238,-86.983002"
17,4078,"2.444452,-0.737303,-86.975743"
17,2091,"2.327359,-0.717678,-86.962599"
17,4079,"2.445336,-0.733769,-81.866278"
20,1312,"-1.183242,-2.067105,-93.479272"
20,2136,"-1.219662,-2.013920,-86.914528"
20,1769,"-1.137551,-2.122704,-81.920293"
20,2107,"-1.220965,-2.025937,-81.838893"
20,1768,"-1.138088,-2.128670,-86.973373"
20,1314,"-1.222587,-2.006451,-81.838331"
