x,y
0.504000,-1.764000
0.000000,-1.890000
0.630000,-1.732500
0.504000,-1.764000
0.840000,-1.680000
0.630000,-1.732500
0.902201,-1.664450
0.840000,-1.680000
1.512000,-1.512000
0.902201,-1.664450
1.766035,-1.448491
1.512000,-1.512000
1.890000,-1.417500
1.766035,-1.448491
-1.783877,-1.390969
-1.890000,-1.417500
-1.260000,-1.260000
-1.783877,-1.390969
-0.736123,-1.129031
-1.260000,-1.260000
-0.630000,-1.102500
-0.736123,-1.129031
-0.506035,-1.071509
-0.630000,-1.102500
-0.252000,-1.008000
-0.506035,-1.071509
0.357799,-0.855550
-0.252000,-1.008000
0.420000,-0.840000
0.357799,-0.855550
0.630000,-0.787500
0.420000,-0.840000
0.756000,-0.756000
0.630000,-0.787500
1.260000,-0.630000
0.756000,-0.756000
1.764000,-0.504000
1.260000,-0.630000
1.890000,-0.472500
1.764000,-0.504000
-1.680000,-0.420000
-1.890000,-0.472500
-1.617799,-0.404450
-1.680000,-0.420000
-1.008000,-0.252000
-1.617799,-0.404450
-0.753965,-0.188491
-1.008000,-0.252000
-0.630000,-0.157500
-0.753965,-0.188491
-0.523877,-0.130969
-0.630000,-0.157500
-0.468570,-0.117142
-0.523877,-0.130969
-0.405793,-0.101448
-0.468570,-0.117142
-0.331329,-0.082832
-0.405793,-0.101448
-0.234285,-0.058571
-0.331329,-0.082832
-0.000000,-0.000000
-0.234285,-0.058571
0.234285,0.058571
-0.000000,-0.000000
0.331329,0.082832
0.234285,0.058571
0.405793,0.101448
0.331329,0.082832
0.468570,0.117142
0.405793,0.101448
0.523877,0.130969
0.468570,0.117142
0.630000,0.157500
0.523877,0.130969
0.753965,0.188491
0.630000,0.157500
1.008000,0.252000
0.753965,0.188491
1.617799,0.404450
1.008000,0.252000
1.680000,0.420000
1.617799,0.404450
1.890000,0.472500
1.680000,0.420000
-1.764000,0.504000
-1.890000,0.472500
-1.260000,0.630000
-1.764000,0.504000
-0.756000,0.756000
-1.260000,0.630000
-0.630000,0.787500
-0.756000,0.756000
-0.420000,0.840000
-0.630000,0.787500
-0.357799,0.855550
-0.420000,0.840000
0.252000,1.008000
-0.357799,0.855550
0.506035,1.071509
0.252000,1.008000
0.630000,1.102500
0.506035,1.071509
0.736123,1.129031
0.630000,1.102500
1.260000,1.260000
0.736123,1.129031
1.783877,1.390969
1.260000,1.260000
1.890000,1.417500
1.783877,1.390969
-1.766035,1.448491
-1.890000,1.417500
-1.512000,1.512000
-1.766035,1.448491
-0.902201,1.664450
-1.512000,1.512000
-0.840000,1.680000
-0.902201,1.664450
-0.630000,1.732500
-0.840000,1.680000
-0.504000,1.764000
-0.630000,1.732500
-0.000000,1.890000
-0.504000,1.764000
1.407307,-1.779520
1.260000,-1.890000
1.620000,-1.620000
1.407307,-1.779520
1.717493,-1.546880
1.620000,-1.620000
1.890000,-1.417500
1.717493,-1.546880
0.147307,-1.779520
-0.000000,-1.890000
0.360000,-1.620000
0.147307,-1.779520
0.457493,-1.546880
0.360000,-1.620000
0.630000,-1.417500
0.457493,-1.546880
0.726725,-1.344956
0.630000,-1.417500
1.080000,-1.080000
0.726725,-1.344956
1.490875,-0.771844
1.080000,-1.080000
1.680000,-0.630000
1.490875,-0.771844
1.800000,-0.540000
1.680000,-0.630000
1.890000,-0.472500
1.800000,-0.540000
-1.112693,-1.779520
-1.260000,-1.890000
-0.900000,-1.620000
-1.112693,-1.779520
-0.802507,-1.546880
-0.900000,-1.620000
-0.630000,-1.417500
-0.802507,-1.546880
-0.533275,-1.344956
-0.630000,-1.417500
-0.180000,-1.080000
-0.533275,-1.344956
0.230875,-0.771844
-0.180000,-1.080000
0.420000,-0.630000
0.230875,-0.771844
0.540000,-0.540000
0.420000,-0.630000
0.630000,-0.472500
0.540000,-0.540000
0.828000,-0.324000
0.630000,-0.472500
1.260000,-0.000000
0.828000,-0.324000
1.692000,0.324000
1.260000,-0.000000
1.890000,0.472500
1.692000,0.324000
-1.793275,-1.344956
-1.890000,-1.417500
-1.440000,-1.080000
-1.793275,-1.344956
-1.029125,-0.771844
-1.440000,-1.080000
-0.840000,-0.630000
-1.029125,-0.771844
-0.720000,-0.540000
-0.840000,-0.630000
-0.630000,-0.472500
-0.720000,-0.540000
-0.432000,-0.324000
-0.630000,-0.472500
-0.386393,-0.289794
-0.432000,-0.324000
-0.334626,-0.250969
-0.386393,-0.289794
-0.273221,-0.204916
-0.334626,-0.250969
-0.193196,-0.144897
-0.273221,-0.204916
-0.000000,-0.000000
-0.193196,-0.144897
0.193196,0.144897
-0.000000,-0.000000
0.273221,0.204916
0.193196,0.144897
0.334626,0.250969
0.273221,0.204916
0.386393,0.289794
0.334626,0.250969
0.432000,0.324000
0.386393,0.289794
0.630000,0.472500
0.432000,0.324000
0.720000,0.540000
0.630000,0.472500
0.840000,0.630000
0.720000,0.540000
1.029125,0.771844
0.840000,0.630000
1.440000,1.080000
1.029125,0.771844
1.793275,1.344956
1.440000,1.080000
1.890000,1.417500
1.793275,1.344956
-1.692000,-0.324000
-1.890000,-0.472500
-1.260000,-0.000000
-1.692000,-0.324000
-0.828000,0.324000
-1.260000,-0.000000
