x,y
-0.382507,-3.442522
-0.461180,-3.475000
-0.300875,-3.301130
-0.722050,-3.475000
0.225948,-3.083647
0.119720,-3.127500
-0.837239,-3.414860
-1.043478,-3.500000
-0.354476,-3.215566
-0.837239,-3.414860
-0.219242,-3.159738
-0.354476,-3.215566
-0.033661,-3.083127
-0.141149,-3.127500
-0.026304,-3.080089
-0.033661,-3.083127
0.060346,-3.044319
-0.026304,-3.080089
0.143684,-3.009915
0.060346,-3.044319
0.230333,-2.974144
0.143684,-3.009915
0.237691,-2.971107
0.230333,-2.974144
0.307580,-2.942255
0.237691,-2.971107
0.834403,-2.724772
0.700621,-2.780000
-0.887448,-3.327895
-1.304348,-3.500000
-0.463238,-3.152773
-0.887448,-3.327895
-0.322715,-3.094762
-0.463238,-3.152773
-0.239390,-3.060364
-0.322715,-3.094762
-0.171378,-3.032287
-0.239390,-3.060364
-0.167215,-3.030568
-0.171378,-3.032287
-0.132808,-3.016364
-0.167215,-3.030568
-0.114749,-3.008909
-0.132808,-3.016364
0.242810,-2.861301
-0.114749,-3.008909
0.260869,-2.853846
0.242810,-2.861301
0.295277,-2.839642
0.260869,-2.853846
0.299439,-2.837924
0.295277,-2.839642
0.389213,-2.800863
0.299439,-2.837924
0.552483,-2.733462
0.439752,-2.780000
0.559180,-2.730697
0.552483,-2.733462
0.627771,-2.702382
0.559180,-2.730697
0.773922,-2.642047
0.627771,-2.702382
0.842513,-2.613732
0.773922,-2.642047
0.849210,-2.610967
0.842513,-2.613732
0.916035,-2.583380
0.849210,-2.610967
1.442858,-2.365897
1.281522,-2.432500
-0.937657,-3.240930
-1.565217,-3.500000
-0.571999,-3.089979
-0.937657,-3.240930
-0.431477,-3.031969
-0.571999,-3.089979
-0.289600,-2.973399
-0.431477,-3.031969
-0.248715,-2.956521
-0.289600,-2.973399
-0.245158,-2.955052
-0.248715,-2.956521
-0.216487,-2.943216
-0.245158,-2.955052
-0.202074,-2.937267
-0.216487,-2.943216
0.254167,-2.748921
-0.202074,-2.937267
0.268579,-2.742971
0.254167,-2.748921
0.297250,-2.731135
0.268579,-2.742971
0.300808,-2.729666
0.297250,-2.731135
0.358458,-2.705867
0.300808,-2.729666
0.422740,-2.679330
0.358458,-2.705867
0.426820,-2.677646
0.422740,-2.679330
0.460410,-2.663779
0.426820,-2.677646
0.477920,-2.656551
0.460410,-2.663779
0.847805,-2.503855
0.477920,-2.656551
0.865315,-2.496626
0.847805,-2.503855
0.898905,-2.482760
0.865315,-2.496626
0.902984,-2.481076
0.898905,-2.482760
0.997668,-2.441988
0.902984,-2.481076
1.139973,-2.383242
1.020652,-2.432500
1.146175,-2.380682
1.139973,-2.383242
1.205688,-2.356113
1.146175,-2.380682
1.254392,-2.336007
1.205688,-2.356113
1.344965,-2.298617
1.254392,-2.336007
1.393669,-2.278511
1.344965,-2.298617
1.453182,-2.253943
1.393669,-2.278511
1.459384,-2.251383
1.453182,-2.253943
1.524490,-2.224505
1.459384,-2.251383
2.051313,-2.007022
1.862422,-2.085000
-1.765528,-3.475000
-1.826087,-3.500000
-1.554811,-3.388012
-1.765528,-3.475000
-0.987866,-3.153965
-1.554811,-3.388012
-0.680760,-3.027186
-0.987866,-3.153965
-0.540238,-2.969175
-0.680760,-3.027186
-0.339809,-2.886434
-0.540238,-2.969175
-0.292363,-2.866847
-0.339809,-2.886434
-0.288879,-2.865409
-0.292363,-2.866847
-0.260869,-2.853846
-0.288879,-2.865409
-0.246850,-2.848058
-0.260869,-2.853846
0.222974,-2.654106
-0.246850,-2.848058
0.236994,-2.648318
0.222974,-2.654106
0.265003,-2.636755
0.236994,-2.648318
0.268488,-2.635317
0.265003,-2.636755
0.308249,-2.618902
0.268488,-2.635317
0.348521,-2.602277
0.308249,-2.618902
0.352058,-2.600817
0.348521,-2.602277
0.380539,-2.589059
0.352058,-2.600817
0.394838,-2.583156
0.380539,-2.589059
0.854918,-2.393226
0.394838,-2.583156
0.869217,-2.387323
0.854918,-2.393226
0.897698,-2.375566
0.869217,-2.387323
0.901235,-2.374105
0.897698,-2.375566
0.956306,-2.351371
0.901235,-2.374105
1.017173,-2.326244
0.956306,-2.351371
1.021178,-2.324591
1.017173,-2.326244
1.054043,-2.311023
1.021178,-2.324591
1.071075,-2.303992
1.054043,-2.311023
1.452313,-2.146609
1.071075,-2.303992
1.469345,-2.139578
1.452313,-2.146609
1.502211,-2.126010
1.469345,-2.139578
1.506215,-2.124357
1.502211,-2.126010
1.604364,-2.083840
1.506215,-2.124357
1.728539,-2.032578
1.604364,-2.083840
1.734352,-2.030178
1.728539,-2.032578
1.787972,-2.008042
1.734352,-2.030178
1.824785,-1.992845
1.787972,-2.008042
1.972235,-1.931975
1.824785,-1.992845
2.009048,-1.916777
1.972235,-1.931975
2.062669,-1.894642
2.009048,-1.916777
2.068482,-1.892242
2.062669,-1.894642
2.132945,-1.865630
2.068482,-1.892242
2.659768,-1.648147
2.443323,-1.737500
-2.010162,-3.468298
-2.086957,-3.500000
-1.473178,-3.246620
-2.010162,-3.468298
