x,y
-0.872840,-3.353197
-1.200000,-3.500000
-0.447031,-3.162129
-0.872840,-3.353197
-0.311425,-3.101280
-0.447031,-3.162129
-0.235450,-3.067189
-0.311425,-3.101280
-0.165846,-3.035957
-0.235450,-3.067189
-0.161761,-3.034124
-0.165846,-3.035957
-0.128028,-3.018987
-0.161761,-3.034124
-0.110358,-3.011058
-0.128028,-3.018987
0.245972,-2.851167
-0.110358,-3.011058
0.263642,-2.843238
0.245972,-2.851167
0.297375,-2.828101
0.263642,-2.843238
0.301460,-2.826268
0.297375,-2.828101
0.400100,-2.782006
0.301460,-2.826268
0.522649,-2.727017
0.404571,-2.780000
0.528110,-2.724566
0.522649,-2.727017
0.577283,-2.702501
0.528110,-2.724566
0.608545,-2.688473
0.577283,-2.702501
0.788680,-2.607643
0.608545,-2.688473
0.819942,-2.593616
0.788680,-2.607643
0.869115,-2.571551
0.819942,-2.593616
0.874577,-2.569100
0.869115,-2.571551
0.941659,-2.538999
0.874577,-2.569100
1.483217,-2.295992
1.179000,-2.432500
2.024776,-2.052985
1.953429,-2.085000
-2.075838,-3.354543
-2.400000,-3.500000
-1.438448,-3.068534
-2.075838,-3.354543
-0.971813,-2.859147
-1.438448,-3.068534
-0.836206,-2.798298
-0.971813,-2.859147
-0.804995,-2.784293
-0.836206,-2.798298
-0.795429,-2.780000
-0.804995,-2.784293
-0.678752,-2.727645
-0.795429,-2.780000
-0.673234,-2.725169
-0.678752,-2.727645
-0.623320,-2.702772
-0.673234,-2.725169
-0.591146,-2.688335
-0.623320,-2.702772
-0.417914,-2.610603
-0.591146,-2.688335
-0.385740,-2.596166
-0.417914,-2.610603
-0.335826,-2.573768
-0.385740,-2.596166
-0.330308,-2.571292
-0.335826,-2.573768
-0.263437,-2.541286
-0.330308,-2.571292
-0.021000,-2.432500
-0.263437,-2.541286
0.278122,-2.298279
-0.021000,-2.432500
0.344848,-2.268338
0.278122,-2.298279
0.351177,-2.265497
0.344848,-2.268338
0.413482,-2.237540
0.351177,-2.265497
0.476306,-2.209350
0.413482,-2.237540
0.518675,-2.190338
0.476306,-2.209350
0.581499,-2.162148
0.518675,-2.190338
0.643804,-2.134191
0.581499,-2.162148
0.650134,-2.131350
0.643804,-2.134191
0.753429,-2.085000
0.650134,-2.131350
0.819681,-2.055272
0.753429,-2.085000
0.906634,-2.016254
0.819681,-2.055272
0.910945,-2.014320
0.906634,-2.016254
0.946936,-1.998170
0.910945,-2.014320
0.966176,-1.989536
0.946936,-1.998170
1.290417,-1.844044
0.966176,-1.989536
1.309657,-1.835410
1.290417,-1.844044
1.345648,-1.819260
1.309657,-1.835410
1.349959,-1.817326
1.345648,-1.819260
1.429806,-1.781497
1.349959,-1.817326
1.500913,-1.749590
1.429806,-1.781497
1.504604,-1.747934
1.500913,-1.749590
1.534560,-1.734492
1.504604,-1.747934
1.549792,-1.727657
1.534560,-1.734492
1.968412,-1.539815
1.549792,-1.727657
1.983645,-1.532980
1.968412,-1.539815
2.013601,-1.519538
1.983645,-1.532980
2.017292,-1.517882
2.013601,-1.519538
2.067196,-1.495489
2.017292,-1.517882
2.114440,-1.474290
2.067196,-1.495489
2.117896,-1.472739
2.114440,-1.474290
2.145694,-1.460265
2.117896,-1.472739
2.159622,-1.454016
2.145694,-1.460265
2.620194,-1.247349
2.159622,-1.454016
2.634122,-1.241099
2.620194,-1.247349
2.661920,-1.228626
2.634122,-1.241099
2.665377,-1.227075
2.661920,-1.228626
2.704586,-1.209481
2.665377,-1.227075
-2.010091,-2.786579
-2.641447,-3.069880
