x,y,z
-0.165846,-3.035957,-83.250000
-0.235450,-3.067189,-83.250000
-0.161761,-3.034124,-83.250000
-0.165846,-3.035957,-83.250000
-0.128028,-3.018987,-83.250000
-0.161761,-3.034124,-83.250000
-0.110358,-3.011058,43.250000
-0.128028,-3.018987,43.250000
0.245972,-2.851167,43.250000
-0.110358,-3.011058,43.250000
0.263642,-2.843238,-83.250000
0.245972,-2.851167,-83.250000
0.297375,-2.828101,-83.250000
0.263642,-2.843238,-83.250000
0.301460,-2.826268,-83.250000
0.297375,-2.828101,-83.250000
0.400100,-2.782006,-93.250000
0.301460,-2.826268,-93.250000
0.522649,-2.727017,-83.250000
0.404571,-2.780000,-83.250000
0.528110,-2.724566,-83.250000
0.522649,-2.727017,-83.250000
0.577283,-2.702501,-83.250000
0.528110,-2.724566,-83.250000
0.608545,-2.688473,43.250000
0.577283,-2.702501,43.250000
0.788680,-2.607643,43.250000
0.608545,-2.688473,43.250000
0.819942,-2.593616,-83.250000
0.788680,-2.607643,-83.250000
0.869115,-2.571551,-83.250000
0.819942,-2.593616,-83.250000
0.874577,-2.569100,-83.250000
0.869115,-2.571551,-83.250000
0.941659,-2.538999,-93.250000
0.874577,-2.569100,-93.250000
1.483217,-2.295992,-93.250000
1.179000,-2.432500,-93.250000
2.024776,-2.052985,-93.250000
1.953429,-2.085000,-93.250000
-0.678752,-2.727645,-83.250000
-0.795429,-2.780000,-83.250000
-0.673234,-2.725169,-83.250000
-0.678752,-2.727645,-83.250000
-0.623320,-2.702772,-83.250000
-0.673234,-2.725169,-83.250000
-0.591146,-2.688335,43.250000
-0.623320,-2.702772,43.250000
-0.417914,-2.610603,43.250000
-0.591146,-2.688335,43.250000
-0.385740,-2.596166,-83.250000
-0.417914,-2.610603,-83.250000
-0.335826,-2.573768,-83.250000
-0.385740,-2.596166,-83.250000
-0.330308,-2.571292,-83.250000
-0.335826,-2.573768,-83.250000
-0.263437,-2.541286,-93.250000
-0.330308,-2.571292,-93.250000
-0.021000,-2.432500,-93.250000
-0.263437,-2.541286,-93.250000
0.278122,-2.298279,-93.250000
-0.021000,-2.432500,-93.250000
0.344848,-2.268338,-83.250000
0.278122,-2.298279,-83.250000
0.351177,-2.265497,-83.250000
0.344848,-2.268338,-83.250000
0.413482,-2.237540,-83.250000
0.351177,-2.265497,-83.250000
0.476306,-2.209350,43.250000
0.413482,-2.237540,43.250000
0.518675,-2.190338,43.250000
0.476306,-2.209350,43.250000
0.581499,-2.162148,-83.250000
0.518675,-2.190338,-83.250000
0.643804,-2.134191,-83.250000
0.581499,-2.162148,-83.250000
0.650134,-2.131350,-83.250000
0.643804,-2.134191,-83.250000
0.753429,-2.085000,-93.250000
0.650134,-2.131350,-93.250000
0.819681,-2.055272,-93.250000
0.753429,-2.085000,-93.250000
0.906634,-2.016254,-83.250000
0.819681,-2.055272,-83.250000
0.910945,-2.014320,-83.250000
0.906634,-2.016254,-83.250000
0.946936,-1.998170,-83.250000
0.910945,-2.014320,-83.250000
0.966176,-1.989536,43.250000
0.946936,-1.998170,43.250000
1.290417,-1.844044,43.250000
0.966176,-1.989536,43.250000
1.309657,-1.835410,-83.250000
1.290417,-1.844044,-83.250000
1.345648,-1.819260,-83.250000
1.309657,-1.835410,-83.250000
1.349959,-1.817326,-83.250000
1.345648,-1.819260,-83.250000
1.429806,-1.781497,-93.250000
1.349959,-1.817326,-93.250000
1.500913,-1.749590,-83.250000
1.429806,-1.781497,-83.250000
1.504604,-1.747934,-83.250000
1.500913,-1.749590,-83.250000
1.534560,-1.734492,-83.250000
1.504604,-1.747934,-83.250000
1.549792,-1.727657,43.250000
1.534560,-1.734492,43.250000
1.968412,-1.539815,43.250000
1.549792,-1.727657,43.250000
1.983645,-1.532980,-83.250000
1.968412,-1.539815,-83.250000
2.013601,-1.519538,-83.250000
1.983645,-1.532980,-83.250000
2.017292,-1.517882,-83.250000
2.013601,-1.519538,-83.250000
2.067196,-1.495489,-93.250000
2.017292,-1.517882,-93.250000
2.114440,-1.474290,-83.250000
2.067196,-1.495489,-83.250000
2.117896,-1.472739,-83.250000
2.114440,-1.474290,-83.250000
2.145694,-1.460265,-83.250000
2.117896,-1.472739,-83.250000
2.159622,-1.454016,43.250000
2.145694,-1.460265,43.250000
2.620194,-1.247349,43.250000
2.159622,-1.454016,43.250000
2.634122,-1.241099,-83.250000
2.620194,-1.247349,-83.250000
2.661920,-1.228626,-83.250000
2.634122,-1.241099,-83.250000
2.665377,-1.227075,-83.250000
2.661920,-1.228626,-83.250000
2.704586,-1.209481,-93.250000
2.665377,-1.227075,-93.250000
-0.926973,-2.300565,-93.250000
-1.221000,-2.432500,-93.250000
-0.860423,-2.270703,-83.250000
-0.926973,-2.300565,-83.250000
-0.854184,-2.267903,-83.250000
-0.860423,-2.270703,-83.250000
-0.793468,-2.240659,-83.250000
-0.854184,-2.267903,-83.250000
-0.738862,-2.216156,43.250000
-0.793468,-2.240659,43.250000
-0.672441,-2.186352,43.250000
-0.738862,-2.216156,43.250000
-0.617836,-2.161849,-83.250000
-0.672441,-2.186352,-83.250000
-0.557120,-2.134605,-83.250000
-0.617836,-2.161849,-83.250000
-0.550881,-2.131805,-83.250000
-0.557120,-2.134605,-83.250000
-0.446571,-2.085000,-93.250000
-0.550881,-2.131805,-93.250000
-0.385415,-2.057558,-93.250000
-0.446571,-2.085000,-93.250000
-0.297571,-2.018141,-83.250000
-0.385415,-2.057558,-83.250000
-0.293282,-2.016216,-83.250000
-0.297571,-2.018141,-83.250000
-0.257505,-2.000162,-83.250000
-0.293282,-2.016216,-83.250000
