Start,End
"-1.200000,-3.500000","-0.872840,-3.353197"
"-0.872840,-3.353197","-0.447031,-3.162129"
"-0.447031,-3.162129","-0.311425,-3.101280"
"-0.311425,-3.101280","-0.235450,-3.067189"
"-2.400000,-3.500000","-2.075838,-3.354543"
"-2.075838,-3.354543","-1.438448,-3.068534"
"-1.438448,-3.068534","-0.971813,-2.859147"
"-0.971813,-2.859147","-0.836206,-2.798298"
"-0.836206,-2.798298","-0.804995,-2.784293"
"-0.804995,-2.784293","-0.795429,-2.780000"
"-2.641447,-3.069880","-2.010091,-2.786579"
"-2.010091,-2.786579","-1.995429,-2.780000"
"-1.995429,-2.780000","-1.496594,-2.556164"
"-1.496594,-2.556164","-1.468532,-2.543572"
"-1.468532,-2.543572","-1.360988,-2.495315"
"-1.360988,-2.495315","-1.221000,-2.432500"
"-2.673627,-2.545858","-2.421000,-2.432500"
"-2.421000,-2.432500","-2.132069,-2.302851"
"-2.132069,-2.302851","-2.021375,-2.253181"
"-2.021375,-2.253181","-1.885769,-2.192332"
"-1.885769,-2.192332","-1.646571,-2.085000"
"-2.795605,-2.062131","-2.546157,-1.950199"
"-2.546157,-1.950199","-2.410551,-1.889350"
"-2.410551,-1.889350","-2.179189,-1.785534"
"2.179189,1.785534","2.410551,1.889350"
"2.410551,1.889350","2.546157,1.950199"
"2.546157,1.950199","2.795605,2.062131"
"1.646571,2.085000","1.885769,2.192332"
"1.885769,2.192332","2.021376,2.253181"
"2.021376,2.253181","2.132069,2.302851"
"2.132069,2.302851","2.421000,2.432500"
"2.421000,2.432500","2.673627,2.545858"
"1.221000,2.432500","1.360988,2.495315"
"1.360988,2.495315","1.468532,2.543572"
"1.468532,2.543572","1.496594,2.556164"
"1.496594,2.556164","1.995429,2.780000"
"1.995429,2.780000","2.010091,2.786579"
"2.010091,2.786579","2.641447,3.069880"
"0.795429,2.780000","0.804995,2.784293"
"0.804995,2.784293","0.836206,2.798298"
"0.836206,2.798298","0.971813,2.859147"
"0.971813,2.859147","1.438448,3.068534"
"1.438448,3.068534","2.075838,3.354543"
"2.075838,3.354543","2.400000,3.500000"
"0.235450,3.067189","0.311425,3.101280"
"0.311425,3.101280","0.447031,3.162129"
"0.447031,3.162129","0.872840,3.353197"
"0.872840,3.353197","1.200000,3.500000"
"2.494643,1.737500","2.530132,1.820309"
"2.530132,1.820309","2.577936,1.931851"
"2.577936,1.931851","2.713971,2.249265"
"2.085084,1.948529","2.129310,2.051724"
"2.129310,2.051724","2.177114,2.163266"
"2.177114,2.163266","2.292500,2.432500"
"2.292500,2.432500","2.590357,3.127500"
"2.590357,3.127500","2.750000,3.500000"
"-0.739286,-3.475000","-0.573825,-3.088925"
"-0.573825,-3.088925","-0.526021,-2.977383"
"-0.526021,-2.977383","-0.441429,-2.780000"
"1.643571,2.085000","1.728488,2.283139"
"1.728488,2.283139","1.776292,2.394681"
"1.776292,2.394681","1.941429,2.780000"
"1.941429,2.780000","2.140019,3.243378"
"2.140019,3.243378","2.250000,3.500000"
"-1.250000,-3.500000","-1.090357,-3.127500"
"-1.090357,-3.127500","-0.974647,-2.857510"
"-0.974647,-2.857510","-0.926844,-2.745968"
"-0.926844,-2.745968","-0.882245,-2.641906"
"1.292500,2.432500","1.327666,2.514553"
