ID,Start,End
0,"2.400000,-3.500000","3.000000,-3.230769"
1,"1.200000,-3.500000","3.000000,-2.692308"
2,"0.000000,-3.500000","3.000000,-2.153846"
3,"-1.200000,-3.500000","3.000000,-1.615385"
4,"-2.400000,-3.500000","3.000000,-1.076923"
5,"-3.000000,-3.230769","3.000000,-0.538462"
6,"-3.000000,-2.692308","3.000000,0.000000"
7,"-3.000000,-2.153846","3.000000,0.538462"
8,"-3.000000,-1.615385","3.000000,1.076923"
9,"-3.000000,-1.076923","3.000000,1.615385"
10,"-3.000000,-0.538462","3.000000,2.153846"
11,"-3.000000,0.000000","3.000000,2.692308"
12,"-3.000000,0.538462","3.000000,3.230769"
13,"-3.000000,1.076923","2.400000,3.500000"
14,"-3.000000,1.615385","1.200000,3.500000"
15,"-3.000000,2.153846","0.000000,3.500000"
16,"-3.000000,2.692308","-1.200000,3.500000"
17,"-3.000000,3.230769","-2.400000,3.500000"
18,"2.750000,-3.500000","3.000000,-2.916667"
19,"2.250000,-3.500000","3.000000,-1.750000"
20,"1.750000,-3.500000","3.000000,-0.583333"
21,"1.250000,-3.500000","3.000000,0.583333"
22,"0.750000,-3.500000","3.000000,1.750000"
23,"0.250000,-3.500000","3.000000,2.916667"
24,"-0.250000,-3.500000","2.750000,3.500000"
25,"-0.750000,-3.500000","2.250000,3.500000"
26,"-1.250000,-3.500000","1.750000,3.500000"
27,"-1.750000,-3.500000","1.250000,3.500000"
28,"-2.250000,-3.500000","0.750000,3.500000"
29,"-2.750000,-3.500000","0.250000,3.500000"
30,"-3.000000,-2.916667","-0.250000,3.500000"
31,"-3.000000,-1.750000","-0.750000,3.500000"
32,"-3.000000,-0.583333","-1.250000,3.500000"
33,"-3.000000,0.583333","-1.750000,3.500000"
34,"-3.000000,1.750000","-2.250000,3.500000"
35,"-3.000000,2.916667","-2.750000,3.500000"
36,"-2.750000,-3.500000","-3.000000,-2.916667"
37,"-2.250000,-3.500000","-3.000000,-1.750000"
38,"-1.750000,-3.500000","-3.000000,-0.583333"
39,"-1.250000,-3.500000","-3.000000,0.583333"
40,"-0.750000,-3.500000","-3.000000,1.750000"
41,"-0.250000,-3.500000","-3.000000,2.916667"
42,"0.250000,-3.500000","-2.750000,3.500000"
43,"0.750000,-3.500000","-2.250000,3.500000"
44,"1.250000,-3.500000","-1.750000,3.500000"
45,"1.750000,-3.500000","-1.250000,3.500000"
46,"2.250000,-3.500000","-0.750000,3.500000"
47,"2.750000,-3.500000","-0.250000,3.500000"
48,"3.000000,-2.916667","0.250000,3.500000"
49,"3.000000,-1.750000","0.750000,3.500000"
50,"3.000000,-0.583333","1.250000,3.500000"
51,"3.000000,0.583333","1.750000,3.500000"
52,"3.000000,1.750000","2.250000,3.500000"
53,"3.000000,2.916667","2.750000,3.500000"
54,"-2.400000,-3.500000","-3.000000,-3.230769"
55,"-1.200000,-3.500000","-3.000000,-2.692308"
56,"0.000000,-3.500000","-3.000000,-2.153846"
57,"1.200000,-3.500000","-3.000000,-1.615385"
58,"2.400000,-3.500000","-3.000000,-1.076923"
59,"3.000000,-3.230769","-3.000000,-0.538462"
60,"3.000000,-2.692308","-3.000000,0.000000"
61,"3.000000,-2.153846","-3.000000,0.538462"
62,"3.000000,-1.615385","-3.000000,1.076923"
63,"3.000000,-1.076923","-3.000000,1.615385"
64,"3.000000,-0.538462","-3.000000,2.153846"
65,"3.000000,0.000000","-3.000000,2.692308"
66,"3.000000,0.538462","-3.000000,3.230769"
67,"3.000000,1.076923","-2.400000,3.500000"
68,"3.000000,1.615385","-1.200000,3.500000"
69,"3.000000,2.153846","0.000000,3.500000"
70,"3.000000,2.692308","1.200000,3.500000"
71,"3.000000,3.230769","2.400000,3.500000"
